op,size,cycles,rd,rd_mem,rs,rs_mem,z_f,n_f,h_f,c_f,insn_str
RLC,2,8,B,0,,0,Z,0,0,C,RLC B
RLC,2,8,C,0,,0,Z,0,0,C,RLC C
RLC,2,8,D,0,,0,Z,0,0,C,RLC D
RLC,2,8,E,0,,0,Z,0,0,C,RLC E
RLC,2,8,H,0,,0,Z,0,0,C,RLC H
RLC,2,8,L,0,,0,Z,0,0,C,RLC L
RLC,2,16,HL,1,,0,Z,0,0,C,RLC (HL)
RLC,2,8,A,0,,0,Z,0,0,C,RLC A
RRC,2,8,B,0,,0,Z,0,0,C,RRC B
RRC,2,8,C,0,,0,Z,0,0,C,RRC C
RRC,2,8,D,0,,0,Z,0,0,C,RRC D
RRC,2,8,E,0,,0,Z,0,0,C,RRC E
RRC,2,8,H,0,,0,Z,0,0,C,RRC H
RRC,2,8,L,0,,0,Z,0,0,C,RRC L
RRC,2,16,HL,1,,0,Z,0,0,C,RRC (HL)
RRC,2,8,A,0,,0,Z,0,0,C,RRC A
RL,2,8,B,0,,0,Z,0,0,C,RL B
RL,2,8,C,0,,0,Z,0,0,C,RL C
RL,2,8,D,0,,0,Z,0,0,C,RL D
RL,2,8,E,0,,0,Z,0,0,C,RL E
RL,2,8,H,0,,0,Z,0,0,C,RL H
RL,2,8,L,0,,0,Z,0,0,C,RL L
RL,2,16,HL,1,,0,Z,0,0,C,RL (HL)
RL,2,8,A,0,,0,Z,0,0,C,RL A
RR,2,8,B,0,,0,Z,0,0,C,RR B
RR,2,8,C,0,,0,Z,0,0,C,RR C
RR,2,8,D,0,,0,Z,0,0,C,RR D
RR,2,8,E,0,,0,Z,0,0,C,RR E
RR,2,8,H,0,,0,Z,0,0,C,RR H
RR,2,8,L,0,,0,Z,0,0,C,RR L
RR,2,16,HL,1,,0,Z,0,0,C,RR (HL)
RR,2,8,A,0,,0,Z,0,0,C,RR A
SLA,2,8,B,0,,0,Z,0,0,C,SLA B
SLA,2,8,C,0,,0,Z,0,0,C,SLA C
SLA,2,8,D,0,,0,Z,0,0,C,SLA D
SLA,2,8,E,0,,0,Z,0,0,C,SLA E
SLA,2,8,H,0,,0,Z,0,0,C,SLA H
SLA,2,8,L,0,,0,Z,0,0,C,SLA L
SLA,2,16,HL,1,,0,Z,0,0,C,SLA (HL)
SLA,2,8,A,0,,0,Z,0,0,C,SLA A
SRA,2,8,B,0,,0,Z,0,0,0,SRA B
SRA,2,8,C,0,,0,Z,0,0,0,SRA C
SRA,2,8,D,0,,0,Z,0,0,0,SRA D
SRA,2,8,E,0,,0,Z,0,0,0,SRA E
SRA,2,8,H,0,,0,Z,0,0,0,SRA H
SRA,2,8,L,0,,0,Z,0,0,0,SRA L
SRA,2,16,HL,1,,0,Z,0,0,0,SRA (HL)
SRA,2,8,A,0,,0,Z,0,0,0,SRA A
SWAP,2,8,B,0,,0,Z,0,0,0,SWAP B
SWAP,2,8,C,0,,0,Z,0,0,0,SWAP C
SWAP,2,8,D,0,,0,Z,0,0,0,SWAP D
SWAP,2,8,E,0,,0,Z,0,0,0,SWAP E
SWAP,2,8,H,0,,0,Z,0,0,0,SWAP H
SWAP,2,8,L,0,,0,Z,0,0,0,SWAP L
SWAP,2,16,HL,1,,0,Z,0,0,0,SWAP (HL)
SWAP,2,8,A,0,,0,Z,0,0,0,SWAP A
SRL,2,8,B,0,,0,Z,0,0,C,SRL B
SRL,2,8,C,0,,0,Z,0,0,C,SRL C
SRL,2,8,D,0,,0,Z,0,0,C,SRL D
SRL,2,8,E,0,,0,Z,0,0,C,SRL E
SRL,2,8,H,0,,0,Z,0,0,C,SRL H
SRL,2,8,L,0,,0,Z,0,0,C,SRL L
SRL,2,16,HL,1,,0,Z,0,0,C,SRL (HL)
SRL,2,8,A,0,,0,Z,0,0,C,SRL A
BIT,2,8,0,0,B,0,Z,0,1,-,"BIT 0,B"
BIT,2,8,0,0,C,0,Z,0,1,-,"BIT 0,C"
BIT,2,8,0,0,D,0,Z,0,1,-,"BIT 0,D"
BIT,2,8,0,0,E,0,Z,0,1,-,"BIT 0,E"
BIT,2,8,0,0,H,0,Z,0,1,-,"BIT 0,H"
BIT,2,8,0,0,L,0,Z,0,1,-,"BIT 0,L"
BIT,2,16,0,0,HL,1,Z,0,1,-,"BIT 0,(HL)"
BIT,2,8,0,0,A,0,Z,0,1,-,"BIT 0,A"
BIT,2,8,1,0,B,0,Z,0,1,-,"BIT 1,B"
BIT,2,8,1,0,C,0,Z,0,1,-,"BIT 1,C"
BIT,2,8,1,0,D,0,Z,0,1,-,"BIT 1,D"
