op,size,cycles,rd,rd_mem,rs,rs_mem,z_f,n_f,h_f,c_f,insn_str
NOP,1,4,,0,,0,-,-,-,-,NOP
LD,3,12,BC,0,d16,0,-,-,-,-,"LD BC,d16"
LD,1,8,BC,1,A,0,-,-,-,-,"LD (BC),A"
INC,1,8,BC,0,,0,-,-,-,-,INC BC
INC,1,4,B,0,,0,Z,0,H,-,INC B
DEC,1,4,B,0,,0,Z,1,H,-,DEC B
LD,2,8,B,0,d8,0,-,-,-,-,"LD B,d8"
RLCA,1,4,,0,,0,0,0,0,C,RLCA
LD,3,20,a16,1,SP,0,-,-,-,-,"LD (a16),SP"
ADD,1,8,HL,0,BC,0,-,0,H,C,"ADD HL,BC"
LD,1,8,A,0,BC,1,-,-,-,-,"LD A,(BC)"
DEC,1,8,BC,0,,0,-,-,-,-,DEC BC
INC,1,4,C,0,,0,Z,0,H,-,INC C
DEC,1,4,C,0,,0,Z,1,H,-,DEC C
LD,2,8,C,0,d8,0,-,-,-,-,"LD C,d8"
RRCA,1,4,,0,,0,0,0,0,C,RRCA
STOP,2,4,0,0,,0,-,-,-,-,STOP 0
LD,3,12,DE,0,d16,0,-,-,-,-,"LD DE,d16"
LD,1,8,DE,1,A,0,-,-,-,-,"LD (DE),A"
INC,1,8,DE,0,,0,-,-,-,-,INC DE
INC,1,4,D,0,,0,Z,0,H,-,INC D
DEC,1,4,D,0,,0,Z,1,H,-,DEC D
LD,2,8,D,0,d8,0,-,-,-,-,"LD D,d8"
RLA,1,4,,0,,0,0,0,0,C,RLA
JR,2,12,r8,0,,0,-,-,-,-,JR r8
ADD,1,8,HL,0,DE,0,-,0,H,C,"ADD HL,DE"
LD,1,8,A,0,DE,1,-,-,-,-,"LD A,(DE)"
DEC,1,8,DE,0,,0,-,-,-,-,DEC DE
INC,1,4,E,0,,0,Z,0,H,-,INC E
DEC,1,4,E,0,,0,Z,1,H,-,DEC E
LD,2,8,E,0,d8,0,-,-,-,-,"LD E,d8"
RRA,1,4,,0,,0,0,0,0,C,RRA
JR,2,12,NZ,0,r8,0,-,-,-,-,"JR NZ,r8"
LD,3,12,HL,0,d16,0,-,-,-,-,"LD HL,d16"
LD,1,8,HL+,1,A,0,-,-,-,-,"LD (HL+),A"
INC,1,8,HL,0,,0,-,-,-,-,INC HL
INC,1,4,H,0,,0,Z,0,H,-,INC H
DEC,1,4,H,0,,0,Z,1,H,-,DEC H
LD,2,8,H,0,d8,0,-,-,-,-,"LD H,d8"
DAA,1,4,,0,,0,Z,-,0,C,DAA
JR,2,12,Z,0,r8,0,-,-,-,-,"JR Z,r8"
ADD,1,8,HL,0,HL,0,-,0,H,C,"ADD HL,HL"
LD,1,8,A,0,HL+,1,-,-,-,-,"LD A,(HL+)"
DEC,1,8,HL,0,,0,-,-,-,-,DEC HL
INC,1,4,L,0,,0,Z,0,H,-,INC L
DEC,1,4,L,0,,0,Z,1,H,-,DEC L
LD,2,8,L,0,d8,0,-,-,-,-,"LD L,d8"
CPL,1,4,,0,,0,-,1,1,-,CPL
JR,2,12,NC,0,r8,0,-,-,-,-,"JR NC,r8"
LD,3,12,SP,0,d16,0,-,-,-,-,"LD SP,d16"
LD,1,8,HL-,1,A,0,-,-,-,-,"LD (HL-),A"
INC,1,8,SP,0,,0,-,-,-,-,INC SP
INC,1,12,HL,1,,0,Z,0,H,-,INC (HL)
DEC,1,12,HL,1,,0,Z,1,H,-,DEC (HL)
LD,2,12,HL,1,d8,0,-,-,-,-,"LD (HL),d8"
SCF,1,4,,0,,0,-,0,0,1,SCF
JR,2,12,C,0,r8,0,-,-,-,-,"JR C,r8"
ADD,1,8,HL,0,SP,0,-,0,H,C,"ADD HL,SP"
LD,1,8,A,0,HL-,1,-,-,-,-,"LD A,(HL-)"
DEC,1,8,SP,0,,0,-,-,-,-,DEC SP
INC,1,4,A,0,,0,Z,0,H,-,INC A
DEC,1,4,A,0,,0,Z,1,H,-,DEC A
LD,2,8,A,0,d8,0,-,-,-,-,"LD A,d8"
